<DATE>,<TIME>,<LAST>,<VOL>,<ID>,<OPER>
231201,070000,12.4870000,12.4890000,12.4580000,12.4640000,41761000
231201,080000,12.4640000,12.4920000,12.4600000,12.4760000,48097000
231201,090000,12.4760000,12.5070000,12.4640000,12.4640000,362140000
231201,100000,12.4640000,12.4980000,12.4530000,12.4980000,914329000
231201,110000,12.4980000,12.5710000,12.4930000,12.5580000,1167615000
231201,120000,12.5570000,12.5960000,12.5440000,12.5940000,1337447000
231201,130000,12.5960000,12.5970000,12.5570000,12.5800000,908812000
231201,140000,12.5800000,12.5930000,12.5620000,12.5640000,536719000
231201,150000,12.5630000,12.6000000,12.5590000,12.5770000,801578000
231201,160000,12.5770000,12.6120000,12.5720000,12.6040000,780038000
231201,170000,12.6040000,12.6220000,12.5960000,12.6190000,445487000
231201,180000,12.6190000,12.6350000,12.6070000,12.6250000,345546000
